timestamp_ms,phys_footprint,phys_footprint_peak
5844297,10448011264,24696061952
5850164,9915334656,24696061952
5855917,9616490496,24696061952
5861751,10314842112,24696061952
5867596,11811160064,24696061952
5873392,10737418240,24696061952
5879219,10737418240,24696061952
5885053,10455351296,24696061952
5890888,10163847168,24696061952
5896680,16106127360,24696061952
5902519,15032385536,24696061952
5908397,13958643712,24696061952
5914261,11811160064,24696061952
5920197,11811160064,24696061952
5926074,11811160064,24696061952
5931967,10737418240,24696061952
5937790,10436476928,24696061952
5943670,9650044928,24696061952
5949604,9704570880,24696061952
5955416,13958643712,24696061952
5961237,13958643712,24696061952
5967105,13958643712,24696061952
5972954,13958643712,24696061952
5978784,12884901888,24696061952
5984619,12884901888,24696061952
5990420,11811160064,24696061952
5996248,11811160064,24696061952
6002118,8910798848,24696061952
6008013,8436842496,24696061952
6013963,9585033216,24696061952
6019874,9521070080,24696061952
6025776,9205448704,24696061952
6031692,9667870720,24696061952
6037627,9193914368,24696061952
6043483,9666822144,24696061952
6049386,9869197312,24696061952
6055275,9898557440,24696061952
6061123,10048503808,24696061952
6066968,8130658304,24696061952
6072888,8269070336,24696061952
6078750,8430551040,24696061952
6084587,8668577792,24696061952
6090460,8646557696,24696061952
6096330,8755609600,24696061952
6102164,8945401856,24696061952
6107983,9061793792,24696061952
6113817,9496952832,24696061952
6119659,9808379904,24696061952
6125552,10082058240,24696061952
6131432,8095006720,24696061952
6137279,8709472256,24696061952
6143160,8576303104,24696061952
6149004,8953790464,24696061952
6154853,9275703296,24696061952
6160740,9847177216,24696061952
6166637,10140778496,24696061952
6172483,10353639424,24696061952
6178381,10737418240,24696061952
6184245,10737418240,24696061952
6190147,10737418240,24696061952
6196053,11811160064,24696061952
6201969,11811160064,24696061952
6207851,8135901184,24696061952
6213804,8431599616,24696061952
6219708,8663334912,24696061952
6225653,9277800448,24696061952
6231564,9487515648,24696061952
6237408,10036969472,24696061952
6243270,10277093376,24696061952
6249102,10432282624,24696061952
6255009,10373562368,24696061952
6260931,10405019648,24696061952
6266798,10737418240,24696061952
6272609,10737418240,24696061952
6278426,11811160064,24696061952
6284290,8300527616,24696061952
6290214,9198108672,24696061952
6296125,8770289664,24696061952
6302014,8866758656,24696061952
6307883,9064939520,24696061952
6313764,9233760256,24696061952
6319644,9503244288,24696061952
6325478,9350152192,24696061952
6331351,9635364864,24696061952
6337191,9912188928,24696061952
6343076,10248781824,24696061952
6348928,8354004992,24696061952
6354875,8602517504,24696061952
6360791,9091153920,24696061952
6366662,9281994752,24696061952
6372542,9485418496,24696061952
6378406,10412359680,24696061952
6384332,10069475328,24696061952
6390209,10178527232,24696061952
6396131,10294919168,24696061952
6402036,10737418240,24696061952
6407952,10737418240,24696061952
6413850,10737418240,24696061952
6419728,8530165760,24696061952
6425694,8795455488,24696061952
6431575,8978956288,24696061952
6437487,9056550912,24696061952
6443394,9347006464,24696061952
6449227,9479127040,24696061952
6455069,9606004736,24696061952
6460955,9984540672,24696061952
6466854,10328473600,24696061952
6472736,10449059840,24696061952
6478598,10737418240,24696061952
6484463,10737418240,24696061952
6490307,10737418240,24696061952
6496153,8858370048,24696061952
6502171,8787066880,24696061952
6508074,9073328128,24696061952
6513978,9322889216,24696061952
6519848,9551478784,24696061952
