timestamp_ms,bytes_read,bytes_written
4829621,3294718668800,845846032384
4835521,3299687575552,845846032384
4841363,3304751591424,845846032384
4847208,3309372215296,847271849984
4853072,3314647736320,847271849984
4858948,3320310427648,847271849984
4864816,3325401755648,847271849984
4870720,3329266380800,848935145472
4876551,3334763732992,849689341952
4882381,3340283187200,850358894592
4888247,3345804767232,850358894592
4894047,3350161416192,851872280576
4899953,3355875131392,853093298176
4905775,3361678966784,853621579776
4911671,3366845374464,853652844544
4917528,3372332589056,853652844544
4923350,3376698978304,854342303744
4929220,3381831954432,854962286592
4935058,3387407011840,855177220096
4940956,3392071241728,855177220096
4946865,3396315500544,855177220096
4952719,3400612704256,856423079936
4958583,3405698920448,857103904768
4964436,3411148840960,857175613440
4970288,3416289046528,857175613440
4976157,3419836653568,858730995712
4982020,3424465391616,859526144000
4987813,3429539856384,860365963264
4993698,3434917511168,860453662720
4999525,3440143011840,861493690368
5005364,3444949254144,863009021952
5011255,3447179624448,863536967680
5017104,3452428062720,863610732544
5022970,3456903200768,864394301440
5028835,3461561262080,864972144640
5034719,3466676129792,865216946176
5040608,3470242222080,866305949696
5046503,3474222374912,866438037504
5052307,3479053262848,866438037504
5058200,3482414096384,868352815104
5064027,3486499012608,869110829056
5069892,3490951942144,869914136576
5075776,3495568949248,871583289344
5081632,3500777889792,873705992192
5087563,3506652299264,874324107264
5093363,3512187088896,874704347136
5099243,3516427776000,875867049984
5105098,3521379872768,875867049984
5111008,3526199173120,875867049984
5116830,3530727481344,876745494528
5122725,3535995232256,877509558272
5128547,3541255356416,877864992768
5134504,3545548103680,877864992768
5140333,3549011460096,879584821248
5146157,3554068885504,880362582016
5152032,3558572425216,881166311424
5157888,3562875039744,883534909440
5163769,3568420737024,884691693568
5169626,3574284849152,884966649856
5175479,3579368394752,885903441920
5181366,3584706375680,886406901760
5187269,3590240772096,886696816640
5193156,3593919500288,887893688320
5199097,3598258544640,887939436544
5204992,3602858569728,887939436544
5210869,3607319207936,888177291264
5216807,3611525672960,890097123328
